"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","Handover Success Rate (%)-N  ","Number  of Attempted handover-20275","Number  of Successful handover-20276"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2194]DH17141","1","0","1","100.000","95","95"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2194]DH17141","2","0","2","98.851","87","86"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2210]DH17047","0","0","0","100.000","148","148"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2210]DH17047","1","0","1","94.118","34","32"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2210]DH17047","2","0","2","98.148","54","53"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2214]DH17163","0","0","0","100.000","150","150"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2214]DH17163","1","0","1","100.000","54","54"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2214]DH17163","2","0","2","87.500","8","7"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2239]DH17126","0","0","0","99.563","229","228"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2239]DH17126","1","0","1","99.794","485","484"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2239]DH17126","2","0","2","100.000","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2244]DH17132","0","0","0","98.844","173","171"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2244]DH17132","1","0","1","99.270","137","136"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2244]DH17132","2","0","2","97.297","37","36"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2246]DH17122","0","0","0","100.000","1","1"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2246]DH17122","1","0","1","100.000","156","156"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2246]DH17122","2","0","2","98.171","164","161"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2279]DH17140","0","0","0","100.000","44","44"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2279]DH17140","1","0","1","100.000","155","155"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2279]DH17140","2","0","2","99.539","217","216"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2287]DH17113","0","0","0","100.000","303","303"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2287]DH17113","1","0","1","100.000","244","244"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2287]DH17113","2","0","2","100.000","234","234"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2288]DH17167","0","0","0","100.000","107","107"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2288]DH17167","1","0","1","99.057","106","105"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2288]DH17167","2","0","2","98.387","62","61"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2291]DH17127","0","0","0","100.000","48","48"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2291]DH17127","1","0","1","99.020","408","404"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2291]DH17127","2","0","2","97.516","161","157"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2292]DH17133","0","0","0","99.072","431","427"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2292]DH17133","1","0","1","98.225","169","166"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2292]DH17133","2","0","2","99.686","318","317"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2293]DH17338","0","0","0","100.000","1","1"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2293]DH17338","1","0","1","100.000","1","1"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2293]DH17338","2","0","2","100.000","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2316]DH17128","0","0","0","100.000","374","374"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2316]DH17128","1","0","1","100.000","96","96"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2316]DH17128","2","0","2","96.875","64","62"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2318]DH17134","0","0","0","96.364","165","159"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2318]DH17134","1","0","1","96.296","27","26"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2318]DH17134","2","0","2","99.200","125","124"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2339]DH17136","0","0","0","98.837","86","85"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2339]DH17136","1","0","1","91.667","108","99"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2339]DH17136","2","0","2","100.000","78","78"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2365]DH17138","0","0","0","100.000","12","12"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2365]DH17138","1","0","1","93.333","45","42"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2365]DH17138","2","0","2","99.408","169","168"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2367]DH17369","0","0","0","86.364","22","19"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2367]DH17369","1","0","1","100.000","42","42"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2367]DH17369","2","0","2","100.000","285","285"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2369]DH17382","0","0","0","100.000","1","1"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2369]DH17382","1","0","1","100.000","16","16"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2369]DH17382","2","0","2","100.000","17","17"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2382]DH17160","0","0","0","93.333","15","14"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2382]DH17160","1","0","1","100.000","91","91"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2382]DH17160","2","0","2","100.000","102","102"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2401]DH17621","0","0","0","100.000","18","18"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2401]DH17621","1","0","1","100.000","12","12"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2401]DH17621","2","0","2","100.000","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2402]DH17625","0","0","0","100.000","1","1"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2402]DH17625","1","0","1","100.000","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2402]DH17625","2","0","2","76.923","13","10"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[4000]DH17142","0","0","0","100.000","23","23"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[4000]DH17142","1","0","1","100.000","0","0"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[4000]DH17142","2","0","2","100.000","71","71"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6005]DH17022","0","0","0","100.000","44","44"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6005]DH17022","1","0","1","100.000","22","22"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6005]DH17022","2","0","2","100.000","46","46"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6006]DH17010","0","0","0","100.000","15","15"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6006]DH17010","1","0","1","100.000","49","49"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6006]DH17010","2","0","2","100.000","59","59"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6007]DH17084","0","0","0","100.000","4","4"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6007]DH17084","1","0","1","100.000","36","36"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6007]DH17084","2","0","2","100.000","24","24"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6008]DH17023","0","0","0","100.000","178","178"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6008]DH17023","1","0","1","100.000","105","105"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6008]DH17023","2","0","2","100.000","103","103"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6009]DH17032","0","0","0","100.000","114","114"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6009]DH17032","1","0","1","100.000","6","6"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6009]DH17032","2","0","2","100.000","21","21"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6010]DH17129","0","0","0","100.000","6","6"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6010]DH17129","1","0","1","100.000","277","277"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6010]DH17129","2","0","2","100.000","280","280"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6011]DH17137","0","0","0","100.000","320","320"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6011]DH17137","1","0","1","100.000","598","598"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6011]DH17137","2","0","2","100.000","411","411"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6012]DH17455","0","0","0","100.000","0","0"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6012]DH17455","1","0","1","100.000","12","12"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6012]DH17455","2","0","2","100.000","35","35"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6018]DH17048","0","0","0","100.000","6","6"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6018]DH17048","1","0","1","100.000","60","60"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6018]DH17048","2","0","2","100.000","54","54"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6019]DH17038","0","0","0","100.000","320","320"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6019]DH17038","1","0","1","100.000","11","11"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6019]DH17038","2","0","2","100.000","47","47"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6020]DH17066","0","0","0","100.000","25","25"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6020]DH17066","1","0","1","100.000","96","96"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6020]DH17066","2","0","2","100.000","257","257"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6022]DH17037","0","0","0","100.000","16","16"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6022]DH17037","1","0","1","100.000","14","14"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6022]DH17037","2","0","2","100.000","16","16"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6046]DH17135","0","0","0","100.000","20","20"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6046]DH17135","1","0","1","100.000","90","90"
"2016-09-24","[100002]CNO2","[2]DHAKA - BBUC","-","[6046]DH17135","2","0","2","100.000","24","24"
"2016-09-24","[100002]CNO2","[4]PICO","[2]PICO-DHAKA","[0]PICO2-Uttara","-","0","-","100.000","0","0"
"2016-09-24","[100002]CNO2","[8]NG","-","[3700]NG47068","0","0","0","92.857","14","13"
"2016-09-24","[100002]CNO2","[8]NG","-","[3700]NG47068","1","0","1","59.667","300","179"
"2016-09-24","[100002]CNO2","[8]NG","-","[3700]NG47068","2","0","2","99.454","183","182"
"2016-09-24","[100002]CNO2","[8]NG","-","[3701]NG47001","0","0","0","100.000","187","187"
"2016-09-24","[100002]CNO2","[8]NG","-","[3701]NG47001","1","0","1","100.000","105","105"
"2016-09-24","[100002]CNO2","[8]NG","-","[3701]NG47001","2","0","2","100.000","170","170"
"2016-09-24","[100002]CNO2","[8]NG","-","[3702]NG47002","0","0","0","100.000","0","0"
"2016-09-24","[100002]CNO2","[8]NG","-","[3702]NG47002","1","0","1","96.512","86","83"
"2016-09-24","[100002]CNO2","[8]NG","-","[3702]NG47002","2","0","2","99.454","183","182"
"2016-09-24","[100002]CNO2","[8]NG","-","[3703]NG47101","0","0","0","100.000","25","25"
"2016-09-24","[100002]CNO2","[8]NG","-","[3703]NG47101","1","0","1","99.038","104","103"
"2016-09-24","[100002]CNO2","[8]NG","-","[3703]NG47101","2","0","2","100.000","93","93"
"2016-09-24","[100002]CNO2","[8]NG","-","[3704]NG47084","0","0","0","100.000","134","134"
"2016-09-24","[100002]CNO2","[8]NG","-","[3704]NG47084","1","0","1","100.000","100","100"
"2016-09-24","[100002]CNO2","[8]NG","-","[3704]NG47084","2","0","2","100.000","125","125"
"2016-09-24","[100002]CNO2","[8]NG","-","[3705]NG47093","0","0","0","100.000","33","33"
"2016-09-24","[100002]CNO2","[8]NG","-","[3705]NG47093","1","0","1","100.000","244","244"
"2016-09-24","[100002]CNO2","[8]NG","-","[3705]NG47093","2","0","2","100.000","87","87"
"2016-09-24","[100002]CNO2","[8]NG","-","[3710]NG47100","0","0","0","99.726","730","728"
"2016-09-24","[100002]CNO2","[8]NG","-","[3710]NG47100","1","0","1","97.980","792","776"
"2016-09-24","[100002]CNO2","[8]NG","-","[3710]NG47100","2","0","2","99.145","117","116"
"2016-09-24","[100002]CNO2","[8]NG","-","[3713]NG47103","0","0","0","97.059","68","66"
"2016-09-24","[100002]CNO2","[8]NG","-","[3713]NG47103","1","0","1","98.039","51","50"
"2016-09-24","[100002]CNO2","[8]NG","-","[3713]NG47103","2","0","2","100.000","40","40"
"2016-09-24","[100002]CNO2","[8]NG","-","[3714]NG47104","0","0","0","91.403","221","202"
"2016-09-24","[100002]CNO2","[8]NG","-","[3714]NG47104","1","0","1","100.000","560","560"
"2016-09-24","[100002]CNO2","[8]NG","-","[3714]NG47104","2","0","2","90.598","585","530"
"2016-09-24","[100002]CNO2","[8]NG","-","[3763]NG47063","0","0","0","100.000","1","1"
"2016-09-24","[100002]CNO2","[8]NG","-","[3763]NG47063","1","0","1","100.000","3","3"
"2016-09-24","[100002]CNO2","[8]NG","-","[3763]NG47063","2","0","2","100.000","0","0"
"2016-09-24","[100002]CNO2","[8]NG","-","[3794]NG47094","0","0","0","100.000","89","89"
"2016-09-24","[100002]CNO2","[8]NG","-","[3794]NG47094","1","0","1","100.000","227","227"
"2016-09-24","[100002]CNO2","[8]NG","-","[3794]NG47094","2","0","2","60.849","212","129"
"2016-09-24","[100002]CNO2","[8]NG","-","[3799]NG47099","0","0","0","100.000","435","435"
"2016-09-24","[100002]CNO2","[8]NG","-","[3799]NG47099","1","0","1","100.000","39","39"
"2016-09-24","[100002]CNO2","[8]NG","-","[3799]NG47099","2","0","2","99.539","434","432"
"2016-09-24","[100002]CNO2","[9]GP","-","[3800]GP37020","0","0","0","100.000","38","38"
"2016-09-24","[100002]CNO2","[9]GP","-","[3800]GP37020","1","0","1","100.000","800","800"
"2016-09-24","[100002]CNO2","[9]GP","-","[3800]GP37020","2","0","2","100.000","98","98"
"2016-09-24","[100002]CNO2","[9]GP","-","[3801]GP37021","0","0","0","100.000","1170","1170"
"2016-09-24","[100002]CNO2","[9]GP","-","[3801]GP37021","1","0","1","100.000","654","654"
"2016-09-24","[100002]CNO2","[9]GP","-","[3801]GP37021","2","0","2","100.000","43","43"
"2016-09-24","[100002]CNO2","[9]GP","-","[3802]GP37014","0","0","0","100.000","26","26"
"2016-09-24","[100002]CNO2","[9]GP","-","[3802]GP37014","1","0","1","100.000","191","191"
"2016-09-24","[100002]CNO2","[9]GP","-","[3802]GP37014","2","0","2","99.123","228","226"
"2016-09-24","[100002]CNO2","[9]GP","-","[3803]GP37015","0","0","0","100.000","117","117"
"2016-09-24","[100002]CNO2","[9]GP","-","[3803]GP37015","1","0","1","100.000","68","68"
"2016-09-24","[100002]CNO2","[9]GP","-","[3803]GP37015","2","0","2","100.000","16","16"
"2016-09-24","[100002]CNO2","[9]GP","-","[3804]GP37004","0","0","0","100.000","822","822"
"2016-09-24","[100002]CNO2","[9]GP","-","[3804]GP37004","1","0","1","100.000","671","671"
"2016-09-24","[100002]CNO2","[9]GP","-","[3804]GP37004","2","0","2","100.000","148","148"
"2016-09-24","[100002]CNO2","[9]GP","-","[3805]GP37048","0","0","0","98.929","280","277"
"2016-09-24","[100002]CNO2","[9]GP","-","[3805]GP37048","1","0","1","100.000","0","0"
"2016-09-24","[100002]CNO2","[9]GP","-","[3805]GP37048","2","0","2","97.651","809","790"
"2016-09-24","[100002]CNO2","[9]GP","-","[6000]GP37007","0","0","0","100.000","17","17"
"2016-09-24","[100002]CNO2","[9]GP","-","[6000]GP37007","1","0","1","100.000","410","410"
"2016-09-24","[100002]CNO2","[9]GP","-","[6000]GP37007","2","0","2","100.000","433","433"
"2016-09-24","[100002]CNO2","[9]GP","-","[7001]GP37001","0","0","0","96.970","33","32"
"2016-09-24","[100002]CNO2","[9]GP","-","[7001]GP37001","1","0","1","100.000","49","49"
"2016-09-24","[100002]CNO2","[9]GP","-","[7001]GP37001","2","0","2","100.000","16","16"
"2016-09-24","[100002]CNO2","[9]GP","-","[7002]GP37017","0","0","0","100.000","796","796"
"2016-09-24","[100002]CNO2","[9]GP","-","[7002]GP37017","1","0","1","98.270","289","284"
"2016-09-24","[100002]CNO2","[9]GP","-","[7002]GP37017","2","0","2","99.254","134","133"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8001]MY45001","0","0","0","100.000","102","102"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8001]MY45001","1","0","1","99.367","158","157"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8001]MY45001","2","0","2","78.571","28","22"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8002]MY45007","0","0","0","97.203","143","139"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8002]MY45007","1","0","1","97.619","42","41"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8002]MY45007","2","0","2","100.000","82","82"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8003]MY45009","0","0","0","100.000","0","0"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8003]MY45009","1","0","1","100.000","0","0"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8003]MY45009","2","0","2","100.000","103","103"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8004]MY45012","0","0","0","100.000","10","10"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8004]MY45012","1","0","1","100.000","58","58"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8004]MY45012","2","0","2","100.000","0","0"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8005]MY45016","0","0","0","100.000","2","2"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8005]MY45016","1","0","1","100.000","48","48"
"2016-09-24","[100002]CNO2","[10]MYMENSING-BBUB","-","[8005]MY45016","2","0","2","100.000","0","0"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2054]Test BTS_Banani(BBUB)","2","0","2","","",""
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2055]DH17005","0","0","0","100.000","413","413"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2055]DH17005","1","0","1","100.000","224","224"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2055]DH17005","2","0","2","100.000","53","53"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2059]DH17030","0","0","0","100.000","3","3"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2059]DH17030","1","0","1","100.000","10","10"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2059]DH17030","2","0","2","100.000","2","2"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2061]DH17054","0","0","0","100.000","0","0"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2061]DH17054","1","0","1","100.000","137","137"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2061]DH17054","2","0","2","84.615","13","11"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2067]DH17143","0","0","0","100.000","0","0"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2067]DH17143","1","0","1","95.833","24","23"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2067]DH17143","2","0","2","100.000","29","29"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2081]DH17130","0","0","0","97.436","39","38"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2081]DH17130","1","0","1","92.222","90","83"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2081]DH17130","2","0","2","100.000","6","6"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2123]DH17067","0","0","0","100.000","0","0"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2123]DH17067","1","0","1","97.701","87","85"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2123]DH17067","2","0","2","98.684","76","75"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2128]DH17139","0","0","0","98.246","57","56"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2128]DH17139","1","0","1","64.000","25","16"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2128]DH17139","2","0","2","100.000","72","72"
"2016-09-25","[100002]CNO2","[1]DHAKA-BBUB","-","[2134]DH17104","0","0","0","90.000","10","9"
