"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","Handover  Success Rate (%)-20274","Number  of Attempted handover-20275","Number  of Successful handover-20276"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2317]CT24089","1","0","1","99.00","402","398"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2317]CT24089","2","0","2","98.65","814","803"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4407]CT24056","0","0","0","100.00","46","46"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4407]CT24056","1","0","1","99.26","680","675"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4407]CT24056","2","0","2","96.25","799","769"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4408]CT24123","0","0","0","99.59","1480","1474"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4408]CT24123","1","0","1","98.48","329","324"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4408]CT24123","2","0","2","97.52","121","118"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4409]CT24153","0","0","0","91.45","117","107"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4409]CT24153","1","0","1","90.66","653","592"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4409]CT24153","2","0","2","98.61","72","71"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4410]CT24143","0","0","0","100.00","36","36"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4410]CT24143","1","0","1","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4410]CT24143","2","0","2","100.00","8","8"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4411]CT24085","0","0","0","100.00","21","21"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4411]CT24085","1","0","1","97.96","1371","1343"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4411]CT24085","2","0","2","98.53","272","268"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4412]CT24094","0","0","0","99.63","269","268"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4412]CT24094","1","0","1","100.00","363","363"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4412]CT24094","2","0","2","100.00","140","140"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4413]CT24114","0","0","0","98.84","173","171"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4413]CT24114","1","0","1","98.43","191","188"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4413]CT24114","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4414]CT24125","0","0","0","97.64","296","289"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4414]CT24125","1","0","1","75.00","32","24"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4414]CT24125","2","0","2","98.10","263","258"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4415]CT24020","0","0","0","100.00","161","161"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4415]CT24020","1","0","1","88.07","419","369"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4415]CT24020","2","0","2","99.80","1483","1480"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4416]CT24054","0","0","0","100.00","178","178"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4416]CT24054","1","0","1","100.00","214","214"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4416]CT24054","2","0","2","100.00","69","69"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4417]CT24142","0","0","0","100.00","11","11"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4417]CT24142","1","0","1","97.56","41","40"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4417]CT24142","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4418]CT24141","0","0","0","100.00","4","4"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4418]CT24141","1","0","1","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4418]CT24141","2","0","2","80.00","5","4"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4419]CT24119","0","0","0","100.00","330","330"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4419]CT24119","1","0","1","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4419]CT24119","2","0","2","97.30","37","36"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4420]CT24180","0","0","0","100.00","4","4"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4420]CT24180","1","0","1","100.00","1","1"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4420]CT24180","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4421]CT24093","0","0","0","97.98","247","242"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4421]CT24093","1","0","1","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4421]CT24093","2","0","2","93.18","132","123"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4422]CT24044","0","0","0","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4422]CT24044","1","0","1","99.03","207","205"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4422]CT24044","2","0","2","99.30","143","142"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4423]CT24061","0","0","0","81.40","172","140"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4423]CT24061","1","0","1","99.15","118","117"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4423]CT24061","2","0","2","100.00","239","239"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4424]CT24059","0","0","0","100.00","37","37"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4424]CT24059","1","0","1","98.68","152","150"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4424]CT24059","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4425]CT24058","0","0","0","96.72","183","177"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4425]CT24058","1","0","1","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4425]CT24058","2","0","2","98.55","69","68"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4426]CT24021","0","0","0","96.43","28","27"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4426]CT24021","1","0","1","100.00","51","51"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4426]CT24021","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4427]CT24088","0","0","0","100.00","140","140"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4427]CT24088","1","0","1","88.03","117","103"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4427]CT24088","2","0","2","94.39","303","286"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4428]CT24042","0","0","0","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4428]CT24042","1","0","1","97.80","364","356"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4428]CT24042","2","0","2","96.08","51","49"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4429]CT24133","0","0","0","97.17","566","550"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4429]CT24133","1","0","1","91.90","1049","964"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4429]CT24133","2","0","2","99.23","260","258"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4430]CT24106","0","0","0","98.40","811","798"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4430]CT24106","1","0","1","89.80","147","132"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4430]CT24106","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4431]CT24108","0","0","0","95.45","44","42"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4431]CT24108","1","0","1","99.34","152","151"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4431]CT24108","2","0","2","97.25","255","248"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4432]CT24107","0","0","0","97.09","103","100"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4432]CT24107","1","0","1","98.92","186","184"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4432]CT24107","2","0","2","98.47","196","193"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4433]CT24031","0","0","0","100.00","69","69"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4433]CT24031","1","0","1","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4433]CT24031","2","0","2","91.72","809","742"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4434]CT24116","0","0","0","100.00","437","437"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4434]CT24116","1","0","1","90.14","690","622"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4434]CT24116","2","0","2","96.45","169","163"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4435]CT24110","0","0","0","99.03","103","102"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4435]CT24110","1","0","1","100.00","29","29"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4435]CT24110","2","0","2","94.44","54","51"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4437]CT24148","0","0","0","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4437]CT24148","1","0","1","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4437]CT24148","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4440]CT24015","0","0","0","98.73","158","156"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4440]CT24015","1","0","1","99.31","289","287"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4440]CT24015","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4441]CT24124","0","0","0","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4441]CT24124","1","0","1","100.00","103","103"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4441]CT24124","2","0","2","99.42","171","170"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4442]CT24034","0","0","0","98.41","189","186"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4442]CT24034","1","0","1","99.68","622","620"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4442]CT24034","2","0","2","95.76","165","158"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4443]CT24086","0","0","0","99.17","360","357"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4443]CT24086","1","0","1","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4443]CT24086","2","0","2","84.94","239","203"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4444]CT24032","0","0","0","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4444]CT24032","1","0","1","100.00","25","25"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4444]CT24032","2","0","2","100.00","71","71"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4445]CT24037","0","0","0","92.86","42","39"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4445]CT24037","1","0","1","100.00","112","112"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4445]CT24037","2","0","2","100.00","8","8"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4446]CT24130","0","0","0","100.00","47","47"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4446]CT24130","1","0","1","96.06","127","122"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4446]CT24130","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4447]CT24121","0","0","0","100.00","2","2"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4447]CT24121","1","0","1","100.00","124","124"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4447]CT24121","2","0","2","0.00","10","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4448]CT24161","0","0","0","89.47","19","17"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4448]CT24161","1","0","1","100.00","3","3"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4448]CT24161","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4449]CT24070","0","0","0","100.00","81","81"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4449]CT24070","1","0","1","78.54","247","194"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4449]CT24070","2","0","2","98.62","145","143"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4450]CT24077","0","0","0","58.82","119","70"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4450]CT24077","1","0","1","96.38","359","346"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4450]CT24077","2","0","2","99.42","343","341"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4452]CT24038","0","0","0","100.00","24","24"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4452]CT24038","1","0","1","100.00","113","113"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4452]CT24038","2","0","2","100.00","37","37"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4453]CT24072","0","0","0","97.87","94","92"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4453]CT24072","1","0","1","94.25","87","82"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4453]CT24072","2","0","2","95.18","311","296"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4454]CT24053","0","0","0","100.00","95","95"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4454]CT24053","1","0","1","97.76","268","262"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4454]CT24053","2","0","2","99.02","205","203"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4456]CT24129","0","0","0","99.54","218","217"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4456]CT24129","1","0","1","100.00","86","86"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4456]CT24129","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4457]CT24109","0","0","0","99.45","182","181"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4457]CT24109","1","0","1","96.39","249","240"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4457]CT24109","2","0","2","89.66","116","104"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4458]CT24052","0","0","0","100.00","10","10"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4458]CT24052","1","0","1","98.65","74","73"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4458]CT24052","2","0","2","96.15","26","25"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4459]CT24025","0","0","0","99.02","408","404"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4459]CT24025","1","0","1","98.30","235","231"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4459]CT24025","2","0","2","99.52","210","209"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4460]CT24023","0","0","0","98.82","85","84"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4460]CT24023","1","0","1","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4460]CT24023","2","0","2","98.92","93","92"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4461]CT24071","0","0","0","98.88","178","176"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4461]CT24071","1","0","1","99.21","126","125"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4461]CT24071","2","0","2","100.00","222","222"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4462]CT24092","0","0","0","99.17","120","119"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4462]CT24092","1","0","1","100.00","12","12"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4462]CT24092","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4463]CT24079","0","0","0","99.15","469","465"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4463]CT24079","1","0","1","93.50","123","115"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4463]CT24079","2","0","2","96.43","28","27"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4464]CT24022","0","0","0","96.88","320","310"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4464]CT24022","1","0","1","100.00","178","178"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4464]CT24022","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4465]CT24040","0","0","0","99.71","345","344"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4465]CT24040","1","0","1","98.49","465","458"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4465]CT24040","2","0","2","99.71","344","343"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4466]CT24067","0","0","0","97.42","427","416"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4466]CT24067","1","0","1","98.19","608","597"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4466]CT24067","2","0","2","97.42","814","793"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4468]CT24112","0","0","0","99.22","258","256"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4468]CT24112","1","0","1","100.00","10","10"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4468]CT24112","2","0","2","99.60","252","251"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4469]CT24149","0","0","0","98.34","1026","1009"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4469]CT24149","1","0","1","99.21","507","503"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4469]CT24149","2","0","2","99.44","178","177"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4470]CT24030","0","0","0","94.74","57","54"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4470]CT24030","1","0","1","97.56","287","280"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4470]CT24030","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4471]CT24073","0","0","0","99.70","331","330"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4471]CT24073","1","0","1","89.69","97","87"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4471]CT24073","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4472]CT24091","0","0","0","99.32","147","146"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4472]CT24091","1","0","1","100.00","87","87"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4472]CT24091","2","0","2","98.88","806","797"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4473]CT24126","0","0","0","99.73","371","370"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4473]CT24126","1","0","1","100.00","369","369"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4473]CT24126","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4474]CT24127","0","0","0","90.48","126","114"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4474]CT24127","1","0","1","100.00","65","65"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4474]CT24127","2","0","2","99.29","844","838"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4475]CT24147","0","0","0","98.67","225","222"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4475]CT24147","1","0","1","99.58","472","470"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4475]CT24147","2","0","2","100.00","54","54"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4476]CT24090","0","0","0","84.68","124","105"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4476]CT24090","1","0","1","99.33","899","893"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4476]CT24090","2","0","2","98.18","55","54"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4478]CT24115","0","0","0","95.90","195","187"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4478]CT24115","1","0","1","100.00","29","29"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4478]CT24115","2","0","2","97.84","232","227"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4479]CT24157","0","0","0","100.00","16","16"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4479]CT24157","1","0","1","100.00","61","61"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4479]CT24157","2","0","2","76.79","56","43"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4480]CT24076","0","0","0","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4480]CT24076","1","0","1","100.00","196","196"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4480]CT24076","2","0","2","98.50","266","262"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4482]CT24029","0","0","0","97.94","194","190"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4482]CT24029","1","0","1","99.51","203","202"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4482]CT24029","2","0","2","99.79","468","467"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4483]CT24014","0","0","0","78.53","312","245"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4483]CT24014","1","0","1","92.31","13","12"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4483]CT24014","2","0","2","97.36","227","221"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4484]CT24004","0","0","0","100.00","70","70"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4484]CT24004","1","0","1","100.00","5","5"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4484]CT24004","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4486]CT24010","0","0","0","99.03","206","204"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4486]CT24010","1","0","1","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4486]CT24010","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4487]CT24009","0","0","0","100.00","258","258"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4487]CT24009","1","0","1","98.93","844","835"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4487]CT24009","2","0","2","99.85","680","679"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4489]CT24008","0","0","0","97.98","99","97"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4489]CT24008","1","0","1","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4489]CT24008","2","0","2","98.77","243","240"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4491]CT24007","0","0","0","98.86","351","347"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4491]CT24007","1","0","1","93.74","559","524"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4491]CT24007","2","0","2","99.85","676","675"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4492]CT24003","0","0","0","100.00","7","7"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4492]CT24003","1","0","1","100.00","70","70"
"2016-09-24","[100001]CNO2","[2]CTG","-","[4492]CT24003","2","0","2","100.00","169","169"
