"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","Handover Success Rate (%)-N  ","Number  of Attempted handover","Number  of Successful handover"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2093]DH17012","1","0","1","100.000","185","185"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2093]DH17012","2","0","2","100.000","328","328"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2094]DH17013","0","0","0","100.000","24","24"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2094]DH17013","1","0","1","94.737","76","72"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2094]DH17013","2","0","2","100.000","18","18"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2095]DH17014","0","0","0","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2095]DH17014","1","0","1","90.000","10","9"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2095]DH17014","2","0","2","100.000","36","36"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2097]DH17016","0","0","0","100.000","35","35"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2097]DH17016","1","0","1","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2097]DH17016","2","0","2","100.000","15","15"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2098]DH17017","1","0","1","98.305","59","58"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2098]DH17017","2","0","2","100.000","67","67"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2099]DH17018","0","0","0","96.552","29","28"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2099]DH17018","1","0","1","100.000","3","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2099]DH17018","2","0","2","100.000","24","24"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2102]DH17024","0","0","0","98.400","125","123"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2102]DH17024","1","0","1","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2102]DH17024","2","0","2","92.800","125","116"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2103]DH17025","0","0","0","100.000","309","309"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2103]DH17025","1","0","1","100.000","139","139"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2103]DH17025","2","0","2","100.000","232","232"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2104]DH17026","0","0","0","100.000","23","23"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2104]DH17026","1","0","1","100.000","19","19"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2104]DH17026","2","0","2","100.000","27","27"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2105]DH17028","0","0","0","100.000","12","12"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2105]DH17028","1","0","1","100.000","9","9"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2105]DH17028","2","0","2","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2106]DH17031","0","0","0","100.000","47","47"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2106]DH17031","1","0","1","100.000","24","24"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2106]DH17031","2","0","2","100.000","11","11"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2107]DH17034","0","0","0","96.951","164","159"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2107]DH17034","1","0","1","97.619","84","82"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2107]DH17034","2","0","2","84.167","120","101"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2108]DH17035","0","0","0","100.000","35","35"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2108]DH17035","1","0","1","98.182","55","54"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2108]DH17035","2","0","2","91.566","83","76"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2109]DH17063","0","0","0","100.000","79","79"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2109]DH17063","1","0","1","100.000","26","26"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2109]DH17063","2","0","2","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2110]DH17219","0","0","0","88.679","53","47"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2110]DH17219","1","0","1","100.000","8","8"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2110]DH17219","2","0","2","96.124","129","124"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2111]DH17040","0","0","0","100.000","20","20"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2111]DH17040","1","0","1","100.000","131","131"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2111]DH17040","2","0","2","90.625","32","29"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2112]DH17216","0","0","0","100.000","75","75"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2112]DH17216","1","0","1","100.000","467","467"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2112]DH17216","2","0","2","100.000","473","473"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2113]DH17039","0","0","0","100.000","33","33"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2113]DH17039","1","0","1","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2113]DH17039","2","0","2","100.000","71","71"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2114]DH17042","0","0","0","100.000","9","9"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2114]DH17042","1","0","1","99.398","166","165"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2114]DH17042","2","0","2","97.468","79","77"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2115]DH17056","0","0","0","98.885","269","266"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2115]DH17056","1","0","1","95.455","22","21"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2115]DH17056","2","0","2","100.000","229","229"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2118]DH17285","0","0","0","97.674","43","42"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2118]DH17285","1","0","1","93.103","58","54"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2118]DH17285","2","0","2","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2119]DH17041","0","0","0","95.556","45","43"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2119]DH17041","1","0","1","80.000","5","4"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2119]DH17041","2","0","2","95.238","42","40"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2124]DH17092","0","0","0","100.000","12","12"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2124]DH17092","1","0","1","93.548","31","29"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2124]DH17092","2","0","2","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2126]DH17094","0","0","0","100.000","1","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2126]DH17094","1","0","1","100.000","21","21"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2126]DH17094","2","0","2","100.000","3","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2127]DH17059","0","0","0","100.000","21","21"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2127]DH17059","1","0","1","97.297","74","72"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2127]DH17059","2","0","2","100.000","6","6"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2129]DH17060","0","0","0","100.000","53","53"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2129]DH17060","1","0","1","100.000","72","72"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2129]DH17060","2","0","2","100.000","17","17"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2130]DH17183","1","0","1","100.000","78","78"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2130]DH17183","2","0","2","100.000","35","35"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2132]DH17093","0","0","0","98.718","156","154"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2132]DH17093","1","0","1","100.000","19","19"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2132]DH17093","2","0","2","100.000","176","176"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2133]DH17214","0","0","0","99.281","278","276"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2133]DH17214","1","0","1","99.519","208","207"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2133]DH17214","2","0","2","96.279","215","207"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2135]DH17182","0","0","0","100.000","15","15"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2135]DH17182","1","0","1","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2135]DH17182","2","0","2","91.304","92","84"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2136]DH17185","0","0","0","100.000","51","51"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2136]DH17185","1","0","1","96.639","119","115"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2136]DH17185","2","0","2","100.000","211","211"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2139]DH17096","0","0","0","95.745","47","45"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2139]DH17096","1","0","1","94.410","161","152"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2139]DH17096","2","0","2","100.000","53","53"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2141]DH17212","0","0","0","0.000","544","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2141]DH17212","1","0","1","99.145","234","232"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2141]DH17212","2","0","2","0.000","749","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2142]DH17172","0","0","0","100.000","18","18"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2142]DH17172","1","0","1","92.157","51","47"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2142]DH17172","2","0","2","95.833","72","69"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2150]DH17244","0","0","0","98.077","52","51"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2150]DH17244","1","0","1","100.000","65","65"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2150]DH17244","2","0","2","100.000","21","21"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2151]DH17169","0","0","0","100.000","178","178"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2151]DH17169","1","0","1","97.143","35","34"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2151]DH17169","2","0","2","96.923","65","63"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2152]DH17234","0","0","0","100.000","99","99"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2152]DH17234","1","0","1","100.000","12","12"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2152]DH17234","2","0","2","100.000","19","19"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2153]DH17254","0","0","0","98.851","87","86"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2153]DH17254","1","0","1","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2153]DH17254","2","0","2","100.000","69","69"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2155]DH17278","0","0","0","97.674","43","42"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2155]DH17278","1","0","1","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2155]DH17278","2","0","2","100.000","75","75"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2158]DH17195","0","0","0","100.000","99","99"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2158]DH17195","1","0","1","99.891","919","918"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2158]DH17195","2","0","2","100.000","62","62"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2159]DH17245","0","0","0","80.000","5","4"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2159]DH17245","1","0","1","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2159]DH17245","2","0","2","97.778","135","132"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2161]DH17068","0","0","0","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2161]DH17068","1","0","1","98.246","114","112"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2161]DH17068","2","0","2","98.496","133","131"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2162]DH17074","0","0","0","97.391","115","112"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2162]DH17074","1","0","1","100.000","4","4"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2162]DH17074","2","0","2","97.222","36","35"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2163]DH17075","0","0","0","98.009","653","640"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2163]DH17075","1","0","1","99.174","484","480"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2163]DH17075","2","0","2","100.000","109","109"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2165]DH17186","0","0","0","100.000","41","41"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2165]DH17186","1","0","1","100.000","54","54"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2165]DH17186","2","0","2","100.000","46","46"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2168]DH17057","0","0","0","100.000","13","13"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2168]DH17057","1","0","1","95.876","97","93"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2168]DH17057","2","0","2","100.000","12","12"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2169]DH17248","0","0","0","100.000","51","51"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2169]DH17248","1","0","1","97.458","118","115"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2169]DH17248","2","0","2","99.371","159","158"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2171]DH17259","0","0","0","100.000","29","29"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2171]DH17259","1","0","1","100.000","17","17"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2171]DH17259","2","0","2","98.507","67","66"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2172]DH17260","0","0","0","98.039","51","50"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2172]DH17260","2","0","2","98.077","52","51"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2173]DH17168","0","0","0","93.333","15","14"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2173]DH17168","1","0","1","93.478","46","43"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2173]DH17168","2","0","2","100.000","13","13"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2174]DH17264","1","0","1","93.684","95","89"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2174]DH17264","2","0","2","95.631","206","197"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2175]DH17164","0","0","0","100.000","43","43"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2175]DH17164","1","0","1","100.000","12","12"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2175]DH17164","2","0","2","75.000","4","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2176]DH17295","0","0","0","90.984","122","111"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2176]DH17295","1","0","1","100.000","79","79"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2176]DH17295","2","0","2","98.148","54","53"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2186]DH17102","0","0","0","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2186]DH17102","1","0","1","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2186]DH17102","2","0","2","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2187]DH17058","0","0","0","100.000","11","11"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2187]DH17058","1","0","1","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2187]DH17058","2","0","2","100.000","5","5"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2196]DH17078","0","0","0","88.235","17","15"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2196]DH17078","1","0","1","100.000","5","5"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2196]DH17078","2","0","2","100.000","10","10"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2197]DH17262","0","0","0","100.000","26","26"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2197]DH17262","1","0","1","100.000","157","157"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2197]DH17262","2","0","2","84.956","113","96"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2198]DH17243","0","0","0","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2198]DH17243","1","0","1","100.000","27","27"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2198]DH17243","2","0","2","54.839","31","17"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2199]DH17180","1","0","1","100.000","33","33"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2199]DH17180","2","0","2","98.649","74","73"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2200]DH17177","0","0","0","100.000","23","23"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2200]DH17177","1","0","1","94.667","75","71"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2200]DH17177","2","0","2","98.765","81","80"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2201]DH17213","0","0","0","99.405","168","167"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2201]DH17213","1","0","1","99.000","100","99"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2201]DH17213","2","0","2","93.333","30","28"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2202]DH17175","0","0","0","100.000","6","6"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2202]DH17175","1","0","1","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2202]DH17175","2","0","2","100.000","19","19"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2203]DH17256","0","0","0","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2203]DH17256","1","0","1","100.000","9","9"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2203]DH17256","2","0","2","96.226","53","51"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2204]DH17120","0","0","0","100.000","102","102"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2204]DH17120","1","0","1","98.667","75","74"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2204]DH17120","2","0","2","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2205]DH17062","0","0","0","93.258","178","166"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2205]DH17062","1","0","1","98.936","188","186"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2205]DH17062","2","0","2","98.667","75","74"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2209]DH17043","0","0","0","96.471","85","82"
